date,sentiment
2021-11-22,neutral
2021-11-13,negative
2021-10-27,neutral
2021-10-27,neutral
2021-10-26,negative
2021-10-22,negative
2021-10-22,positive
2021-10-22,negative
2021-10-21,negative
2021-10-21,negative
2021-10-21,negative
2021-10-21,negative
2021-10-07,negative
2021-09-27,positive
2021-09-24,negative
2021-09-17,neutral
2021-09-13,negative
2021-09-07,neutral
2021-09-07,neutral
2021-08-23,neutral
2021-08-19,neutral
2021-08-18,neutral
2021-08-16,negative
2021-08-16,positive
2021-08-13,neutral
2021-08-12,negative
2021-08-03,positive
2021-07-27,negative
2021-07-26,neutral
2021-07-26,positive
2021-07-23,neutral
2021-07-23,negative
2021-07-22,negative
2021-07-22,positive
2021-07-21,neutral
2021-07-21,positive
2021-07-19,negative
2021-07-19,neutral
2021-07-16,positive
2021-07-15,neutral
2021-07-15,neutral
2021-06-29,negative
2021-06-25,negative
2021-06-24,positive
2021-06-22,neutral
2021-06-21,negative
2021-06-14,neutral
2021-06-11,neutral
2021-06-10,negative
2021-06-10,neutral
2021-06-10,positive
2021-05-31,negative
2021-05-27,positive
2021-05-18,neutral
2021-05-11,neutral
2021-05-10,neutral
2021-05-03,positive
2021-05-03,neutral
2021-04-30,neutral
2021-04-30,neutral
2021-04-26,positive
2021-04-23,negative
2021-04-22,negative
2021-04-22,positive
2021-04-21,neutral
2021-04-21,neutral
2021-04-15,positive
2021-04-15,negative
2021-04-14,neutral
2021-04-13,negative
2021-04-12,neutral
2021-04-12,positive
2021-04-12,neutral
2021-04-06,neutral
2021-03-31,neutral
2021-03-25,negative
2021-03-24,negative
2021-03-23,neutral
2021-03-17,neutral
2021-03-16,neutral
2021-03-12,neutral
2021-03-11,neutral
2021-03-08,neutral
2021-03-02,negative
2021-02-23,positive
2021-02-11,positive
2021-02-03,negative
2021-02-01,negative
2021-01-22,positive
2021-01-21,negative
2021-01-21,positive
2021-01-21,negative
2021-01-21,positive
2021-01-20,neutral
2021-01-19,neutral
2021-01-18,negative
2021-01-14,positive
2021-01-13,positive
2021-01-13,negative
2021-01-13,positive
2021-01-13,negative
2021-01-12,neutral
2021-01-11,neutral
2021-01-08,negative
2021-01-06,positive
2020-12-29,neutral
2020-12-29,negative
2020-12-21,negative
2020-12-18,negative
2020-12-08,neutral
2020-12-07,positive
2020-11-23,neutral
2020-11-16,neutral
2020-11-13,negative
2020-11-04,neutral
2020-11-02,positive
2020-10-23,negative
2020-10-23,positive
2020-10-22,negative
2020-10-22,negative
2020-10-21,positive
2020-10-19,positive
2020-10-19,neutral
2020-10-13,positive
2020-10-08,positive
2020-09-29,neutral
2020-09-22,neutral
2020-09-22,neutral
2020-09-18,neutral
2020-09-02,neutral
2020-08-31,positive
2020-08-30,neutral
2020-08-19,negative
2020-08-13,neutral
